NO2,Proximity_to_Industrial_Areas,Air Quality
26.414375678610206,8.3,Moderate
23.8,8.3,Moderate
34.2,2.5,Hazardous
15.7,10.3,Good
26.7,5.9,Moderate
47.9,2.6,Hazardous
40.2,4.1,Poor
35.4,3.4,Poor
14.8,10.8,Good
34.3,2.6,Hazardous
34.3,6.0,Moderate
22.6,16.0,Good
23.4,6.2,Moderate
45.2,5.1,Poor
24.3,6.3,Moderate
27.4,5.5,Moderate
25.4,3.8,Poor
12.7,11.9,Good
20.9,5.0,Moderate
17.2,10.9,Good
28.3,3.7,Poor
15.3,12.2,Good
32.6,8.4,Poor
14.6,10.7,Good
33.8,3.9,Poor
25.2,11.9,Good
17.4,5.9,Moderate
41.1,5.3,Poor
29.5,8.3,Poor
24.2,11.3,Good
29.2,11.2,Good
16.8,11.6,Good
38.4,3.5,Poor
26.414375678610206,5.4,Moderate
36.4,4.8,Poor
24.1,12.7,Good
25.3,3.5,Poor
21.1,10.9,Moderate
39.2,5.2,Poor
25.3,10.8,Moderate
31.6,5.5,Moderate
22.2,7.7,Moderate
16.5,15.4,Good
30.8,10.7,Moderate
45.4,2.7,Hazardous
49.8,5.0,Hazardous
15.4,11.5,Good
25.3,12.4,Good
26.414375678610206,9.5,Moderate
45.0,3.6,Hazardous
42.7,6.2,Hazardous
22.4,3.5,Poor
32.3,5.6,Moderate
32.2,3.1,Hazardous
40.4,6.2,Poor
14.0,19.0,Good
14.3,13.4,Good
26.414375678610206,14.1,Good
23.3,10.3,Good
12.5,10.9,Good
26.414375678610206,4.0,Poor
52.7,4.5,Hazardous
31.2,4.9,Poor
23.0,7.6,Moderate
22.7,10.1,Good
32.4,6.8,Poor
17.2,10.9,Good
38.2,3.7,Hazardous
22.8,10.4,Good
19.7,11.6,Good
28.9,3.8,Poor
25.8,3.4,Poor
17.7,6.0,Moderate
36.8,6.9,Moderate
43.0,3.9,Poor
24.6,6.4,Moderate
26.414375678610206,5.6,Moderate
26.414375678610206,11.9,Good
16.8,12.2,Good
33.3,5.1,Poor
22.3,10.5,Good
10.7,10.3,Good
32.5,4.8,Poor
18.0,14.2,Good
24.3,5.7,Moderate
21.8,13.1,Good
22.7,7.8,Moderate
23.9,4.1,Poor
30.6,6.2,Moderate
34.4,4.1,Poor
23.3,5.1,Poor
35.2,5.4,Moderate
45.0,3.2,Hazardous
26.1,7.4,Moderate
21.2,10.4,Good
15.1,12.8,Good
30.5,7.1,Moderate
44.0,3.8,Poor
25.2,6.1,Moderate
21.1,8.9,Poor
26.2,6.1,Moderate
22.7,16.1,Good
15.6,5.7,Moderate
28.0,8.2,Moderate
15.4,12.4,Good
21.1,5.0,Moderate
37.8,3.3,Hazardous
42.3,4.5,Hazardous
34.7,6.0,Poor
17.2,5.2,Moderate
37.1,5.1,Hazardous
23.4,11.5,Good
33.2,5.9,Moderate
25.3,12.9,Good
34.8,6.6,Poor
28.2,6.2,Moderate
26.8,13.3,Good
19.6,5.7,Moderate
24.0,6.2,Moderate
35.1,3.6,Poor
25.3,13.5,Good
25.0,10.9,Good
24.6,12.3,Good
26.414375678610206,5.2,Moderate
38.3,6.3,Hazardous
45.0,6.8,Hazardous
37.1,4.7,Poor
32.9,5.3,Poor
36.3,7.5,Poor
35.3,8.4,Moderate
26.414375678610206,12.6,Good
26.414375678610206,4.5,Poor
22.8,10.2,Good
22.5,6.1,Moderate
23.1,11.5,Good
26.5,16.5,Good
17.6,7.5,Moderate
10.7,10.2,Good
26.5,12.4,Moderate
43.5,8.1,Poor
41.1,2.9,Hazardous
34.1,6.6,Poor
15.2,12.1,Good
19.7,10.8,Good
26.414375678610206,6.0,Moderate
33.6,3.4,Poor
51.2,2.9,Hazardous
24.5,10.0,Good
21.3,7.2,Moderate
26.2,25.8,Good
23.7,9.0,Moderate
28.3,5.9,Moderate
34.1,4.2,Poor
31.1,3.6,Poor
39.9,5.9,Poor
28.5,5.7,Moderate
19.6,10.6,Good
22.2,5.1,Moderate
15.5,11.2,Good
34.0,7.0,Poor
17.0,11.3,Good
30.8,6.9,Moderate
19.9,10.1,Good
26.4,10.9,Good
21.0,11.4,Good
43.1,8.3,Hazardous
25.0,13.7,Good
26.414375678610206,7.6,Moderate
33.5,4.9,Poor
43.4,6.2,Poor
27.0,6.3,Moderate
23.5,6.0,Moderate
44.5,8.8,Poor
11.8,14.3,Good
20.3,17.9,Good
31.7,5.8,Moderate
37.6,12.0,Hazardous
26.414375678610206,5.1,Moderate
34.0,11.3,Moderate
29.4,7.9,Moderate
45.3,5.3,Hazardous
36.9,4.1,Hazardous
19.8,8.6,Moderate
29.3,7.3,Moderate
17.2,17.9,Good
26.0,10.4,Good
33.6,5.6,Moderate
31.4,5.5,Moderate
37.6,3.6,Poor
23.8,10.4,Good
23.0,9.4,Moderate
29.9,5.3,Moderate
38.3,5.9,Poor
26.5,5.2,Moderate
27.0,8.8,Moderate
26.414375678610206,3.6,Poor
16.3,14.8,Good
50.3,3.7,Hazardous
10.3,10.3,Good
25.8,5.3,Moderate
26.6,12.4,Good
16.1,15.9,Good
48.8,4.3,Poor
22.3,5.2,Moderate
33.5,6.5,Moderate
25.8,10.2,Good
31.8,5.3,Moderate
22.9,5.5,Moderate
38.4,6.5,Poor
19.8,10.6,Good
30.5,12.5,Moderate
37.4,6.4,Moderate
19.7,11.4,Good
56.6,4.8,Hazardous
49.8,3.1,Hazardous
26.4,10.4,Good
26.414375678610206,16.1,Good
29.2,6.2,Moderate
27.0,3.4,Poor
36.8,3.5,Poor
28.6,5.2,Moderate
32.3,5.8,Poor
20.8,13.1,Good
16.5,17.1,Good
15.5,10.5,Good
25.0,10.3,Good
15.7,10.7,Good
31.0,4.6,Poor
21.1,13.1,Good
22.8,7.4,Moderate
16.8,5.7,Moderate
25.8,6.7,Moderate
20.2,10.2,Good
17.2,10.1,Good
22.5,6.0,Moderate
12.9,13.4,Good
24.4,10.4,Moderate
22.4,7.5,Poor
15.7,12.0,Good
45.4,3.7,Poor
26.414375678610206,4.8,Poor
18.8,12.2,Good
24.0,6.7,Moderate
22.3,12.6,Good
36.2,3.0,Hazardous
50.3,5.2,Poor
19.3,13.3,Good
29.5,8.5,Moderate
12.1,10.7,Good
19.5,11.1,Good
26.414375678610206,4.4,Poor
23.6,11.0,Good
22.2,11.4,Good
26.414375678610206,11.1,Good
26.3,11.1,Good
19.0,11.3,Good
20.5,11.9,Good
13.9,12.0,Good
12.3,10.1,Good
25.4,7.0,Moderate
26.414375678610206,12.3,Good
37.9,3.9,Poor
22.2,5.5,Moderate
43.7,2.9,Hazardous
47.6,6.8,Poor
26.3,5.2,Poor
45.6,4.5,Hazardous
40.5,4.9,Hazardous
34.9,5.0,Moderate
19.5,11.1,Good
17.1,11.1,Good
12.9,14.7,Good
46.3,5.1,Hazardous
26.5,7.3,Moderate
31.8,4.8,Poor
30.8,5.0,Moderate
19.9,11.0,Good
15.1,11.8,Good
30.9,7.0,Moderate
16.1,12.4,Good
37.1,6.6,Poor
19.1,13.4,Good
19.3,8.4,Moderate
26.2,6.7,Moderate
33.6,4.1,Poor
19.2,10.3,Good
19.2,5.5,Moderate
32.5,7.0,Moderate
10.5,11.0,Good
39.1,2.8,Hazardous
26.1,6.3,Moderate
25.1,11.9,Good
26.414375678610206,7.4,Moderate
10.0,15.8,Good
20.5,11.4,Good
22.9,4.4,Poor
30.3,3.5,Poor
37.5,3.9,Poor
17.9,5.6,Moderate
20.2,11.9,Good
46.0,4.1,Hazardous
26.8,11.9,Good
31.4,3.9,Poor
39.6,3.5,Poor
18.7,12.6,Good
25.3,6.4,Moderate
28.9,5.4,Moderate
27.6,3.6,Poor
45.0,4.7,Hazardous
26.414375678610206,3.8,Poor
20.5,11.2,Good
29.6,9.1,Poor
16.2,6.3,Moderate
27.8,10.9,Good
32.7,3.9,Poor
20.1,6.7,Moderate
12.1,13.6,Good
37.5,5.4,Poor
29.7,3.6,Poor
25.3,7.7,Poor
25.4,3.9,Poor
35.1,5.1,Moderate
24.1,10.2,Good
26.414375678610206,11.1,Good
32.6,5.6,Poor
14.6,10.9,Good
19.7,13.8,Good
39.8,4.2,Hazardous
36.1,3.6,Poor
31.5,9.5,Moderate
26.414375678610206,4.1,Poor
33.8,5.6,Moderate
20.1,13.1,Good
24.8,5.9,Poor
26.414375678610206,4.7,Hazardous
24.4,12.2,Good
32.5,6.9,Moderate
30.4,4.5,Poor
16.8,5.9,Moderate
24.8,5.4,Moderate
19.7,6.1,Moderate
28.0,7.3,Poor
37.3,4.4,Poor
36.9,4.2,Poor
22.3,7.3,Moderate
43.7,4.2,Poor
33.0,4.7,Poor
31.8,5.4,Hazardous
27.8,5.1,Moderate
26.414375678610206,6.6,Moderate
45.8,6.8,Poor
27.4,18.9,Good
26.3,9.8,Moderate
18.6,13.0,Good
31.5,4.4,Poor
51.0,4.1,Hazardous
48.3,3.2,Hazardous
32.4,5.5,Moderate
13.9,10.3,Good
24.8,7.0,Moderate
40.4,2.7,Hazardous
26.9,6.1,Moderate
15.6,11.9,Good
41.7,6.2,Poor
25.5,10.3,Good
12.8,15.0,Good
20.6,10.4,Good
26.3,11.4,Good
26.5,5.4,Moderate
18.7,12.8,Good
19.5,15.4,Good
17.4,13.6,Good
29.4,6.2,Moderate
24.1,13.7,Good
24.9,13.4,Good
26.414375678610206,10.8,Good
22.7,8.6,Moderate
43.1,6.1,Poor
26.414375678610206,2.6,Hazardous
17.1,11.6,Good
50.6,2.8,Hazardous
48.5,3.4,Hazardous
15.8,11.0,Good
17.4,12.0,Good
20.4,8.6,Moderate
31.2,8.2,Moderate
44.6,2.5,Hazardous
26.0,4.3,Poor
28.3,5.2,Moderate
26.3,9.3,Poor
20.4,10.5,Good
18.7,10.7,Good
52.3,5.6,Hazardous
26.414375678610206,3.5,Hazardous
21.8,5.4,Moderate
22.5,12.3,Good
32.4,4.2,Poor
13.9,10.2,Good
27.4,9.3,Moderate
13.0,11.2,Good
26.8,5.5,Moderate
28.8,8.7,Poor
31.7,5.5,Moderate
19.0,16.6,Good
34.3,5.5,Poor
21.6,13.7,Good
13.5,23.4,Good
28.6,7.7,Moderate
26.414375678610206,2.9,Hazardous
19.4,9.7,Moderate
16.4,14.5,Good
32.6,5.1,Moderate
15.1,11.8,Good
17.3,11.9,Good
29.6,8.5,Moderate
28.9,5.4,Moderate
18.3,11.4,Good
23.2,10.2,Good
29.8,4.7,Poor
9.3,11.2,Good
26.414375678610206,6.4,Moderate
14.0,11.0,Good
20.6,13.1,Good
32.2,3.0,Hazardous
22.4,5.6,Moderate
21.3,4.1,Poor
20.8,15.3,Good
35.8,4.5,Poor
35.7,4.1,Poor
29.2,6.7,Moderate
48.6,2.7,Hazardous
39.5,2.8,Hazardous
14.0,13.0,Good
14.6,11.3,Good
44.7,6.4,Poor
25.5,11.7,Good
37.9,7.4,Moderate
25.5,11.8,Moderate
24.2,16.0,Good
15.6,10.2,Good
29.5,15.6,Moderate
25.0,6.4,Moderate
25.0,6.8,Poor
29.5,5.1,Moderate
22.8,5.4,Moderate
37.7,7.1,Poor
40.3,5.4,Poor
25.5,12.3,Good
11.3,17.5,Good
23.6,5.6,Moderate
33.8,13.9,Moderate
18.4,10.4,Good
21.3,11.5,Good
32.9,8.9,Poor
24.1,10.3,Good
25.8,8.8,Moderate
37.6,5.4,Hazardous
19.8,7.1,Moderate
25.6,10.2,Good
28.2,5.8,Moderate
20.3,10.7,Good
41.8,2.7,Hazardous
26.414375678610206,2.6,Hazardous
22.9,10.4,Good
13.4,13.3,Good
25.6,5.4,Moderate
26.414375678610206,10.5,Good
20.9,10.1,Good
24.4,11.4,Good
13.1,11.0,Good
18.8,9.6,Moderate
30.1,3.2,Hazardous
27.5,6.1,Moderate
25.8,5.9,Poor
30.3,8.2,Poor
23.3,17.0,Good
38.6,2.8,Hazardous
23.5,7.6,Moderate
13.0,15.8,Good
46.5,3.1,Hazardous
20.2,10.2,Good
26.6,10.3,Good
14.6,14.8,Good
14.3,12.1,Good
34.4,3.3,Hazardous
21.7,6.0,Moderate
12.8,10.6,Good
21.3,4.5,Poor
41.0,2.6,Hazardous
45.1,9.9,Poor
16.7,10.7,Good
39.2,4.2,Poor
11.7,10.9,Good
26.414375678610206,6.6,Moderate
30.4,8.8,Moderate
25.0,10.2,Good
22.8,10.2,Good
11.6,12.4,Good
29.2,7.6,Poor
28.7,5.4,Moderate
26.414375678610206,10.1,Good
21.1,5.5,Moderate
25.3,12.5,Good
23.2,10.7,Good
16.0,11.6,Good
14.6,11.4,Good
26.8,11.9,Moderate
59.3,4.3,Hazardous
36.1,4.4,Poor
27.0,5.0,Moderate
38.9,7.2,Poor
29.2,5.6,Moderate
23.1,8.3,Moderate
27.5,11.3,Good
29.4,8.0,Moderate
17.2,10.8,Good
26.414375678610206,15.1,Good
17.3,8.4,Moderate
25.9,17.2,Good
19.5,13.3,Good
25.4,10.9,Good
17.8,5.6,Moderate
23.4,11.3,Good
26.5,8.9,Moderate
18.7,10.7,Good
26.414375678610206,10.3,Good
12.3,12.7,Good
26.414375678610206,5.9,Hazardous
12.5,11.9,Good
24.0,10.6,Good
26.414375678610206,10.4,Good
22.5,11.2,Good
36.2,5.3,Moderate
35.1,4.0,Poor
22.3,10.3,Good
26.414375678610206,6.1,Moderate
25.3,5.3,Moderate
37.4,5.3,Moderate
25.9,10.6,Good
41.5,5.0,Hazardous
13.4,13.3,Good
22.6,12.2,Good
20.1,11.0,Good
41.5,7.1,Poor
21.7,14.3,Good
15.4,11.8,Good
19.2,5.3,Moderate
29.4,3.9,Poor
34.5,5.9,Moderate
30.1,8.0,Moderate
26.414375678610206,8.2,Moderate
26.6,5.4,Poor
36.4,8.4,Moderate
25.3,5.3,Moderate
26.9,5.4,Poor
26.414375678610206,10.5,Good
19.4,9.4,Moderate
14.3,10.9,Good
38.6,4.2,Hazardous
34.9,5.4,Poor
26.414375678610206,3.8,Hazardous
26.414375678610206,3.7,Poor
24.4,6.7,Poor
27.6,5.0,Poor
17.8,11.0,Good
27.9,10.6,Good
26.5,7.4,Moderate
43.4,9.6,Poor
22.5,6.0,Moderate
23.1,10.6,Good
30.7,6.9,Moderate
22.9,10.3,Good
14.0,11.9,Good
46.3,3.7,Hazardous
22.5,10.1,Good
19.1,13.4,Good
24.8,3.5,Poor
36.2,5.9,Poor
33.7,8.3,Hazardous
20.9,10.7,Good
23.8,13.1,Good
22.1,3.6,Poor
29.0,6.1,Moderate
45.1,4.7,Poor
18.6,10.1,Good
18.5,15.3,Good
20.7,12.3,Good
20.3,12.4,Good
20.1,12.5,Good
26.414375678610206,15.2,Good
24.5,8.0,Moderate
21.3,14.5,Good
21.2,15.9,Good
35.7,12.5,Moderate
24.2,10.1,Good
38.3,4.2,Hazardous
19.1,5.2,Moderate
22.1,11.6,Good
24.8,12.1,Good
24.1,12.3,Moderate
48.3,3.4,Hazardous
28.2,7.2,Poor
27.1,4.0,Poor
34.8,3.9,Poor
17.8,10.4,Good
15.7,11.3,Good
20.3,12.9,Good
26.414375678610206,8.1,Moderate
34.4,4.3,Poor
26.414375678610206,10.8,Good
48.3,4.8,Hazardous
15.6,13.2,Good
37.2,4.4,Hazardous
35.0,7.4,Poor
32.6,3.9,Hazardous
25.5,5.8,Moderate
26.0,6.8,Moderate
20.6,18.1,Good
20.9,3.8,Poor
31.0,5.8,Moderate
12.5,11.7,Good
26.6,6.0,Moderate
16.3,18.6,Good
14.3,11.1,Good
35.1,4.0,Poor
22.7,10.6,Good
24.6,12.0,Good
14.7,12.8,Good
24.1,11.4,Good
21.7,6.2,Moderate
20.5,7.1,Moderate
37.5,4.3,Poor
33.1,6.3,Moderate
26.414375678610206,15.2,Good
15.8,10.0,Good
13.7,11.8,Good
22.9,5.4,Moderate
23.4,6.3,Moderate
16.6,10.3,Good
17.3,11.0,Good
34.3,5.3,Moderate
22.3,10.6,Good
33.2,2.7,Hazardous
55.8,4.4,Hazardous
25.4,3.4,Poor
30.7,7.9,Poor
41.8,7.4,Hazardous
15.0,10.3,Good
15.1,16.6,Good
36.2,5.6,Poor
23.6,12.7,Good
26.414375678610206,3.6,Poor
33.3,4.0,Poor
23.4,8.2,Moderate
32.8,3.7,Poor
24.4,10.7,Moderate
47.2,3.9,Poor
19.8,15.6,Good
25.1,11.6,Good
15.0,11.8,Good
24.0,15.0,Good
25.7,12.4,Good
19.9,10.3,Good
21.4,6.6,Moderate
22.5,11.1,Good
25.0,5.2,Moderate
21.1,10.4,Good
16.0,12.2,Good
31.4,5.4,Moderate
28.1,3.9,Poor
13.6,11.5,Good
26.1,10.6,Moderate
26.414375678610206,10.4,Good
13.9,12.9,Good
31.5,6.2,Poor
29.8,4.0,Poor
15.3,10.9,Good
22.2,11.5,Good
25.2,8.8,Moderate
26.1,11.1,Good
29.8,6.9,Moderate
39.3,6.0,Poor
26.414375678610206,7.6,Moderate
35.9,4.0,Poor
26.414375678610206,4.3,Poor
35.0,6.1,Moderate
14.0,5.1,Moderate
34.3,6.2,Moderate
37.2,5.4,Poor
17.5,6.2,Moderate
25.3,3.6,Poor
22.1,10.7,Good
56.4,2.6,Hazardous
26.3,3.5,Poor
43.8,4.6,Poor
15.3,12.7,Good
51.1,5.7,Hazardous
33.3,6.5,Poor
32.8,5.2,Moderate
31.3,5.3,Poor
23.5,5.3,Moderate
25.7,13.7,Good
26.414375678610206,7.0,Moderate
21.1,11.4,Good
33.7,7.4,Poor
30.7,5.3,Moderate
25.2,9.0,Moderate
26.414375678610206,11.1,Good
25.5,5.7,Moderate
48.2,4.0,Hazardous
29.9,2.9,Hazardous
32.7,4.1,Poor
26.414375678610206,5.0,Moderate
20.5,12.2,Good
33.2,7.8,Moderate
32.3,6.8,Hazardous
17.5,11.2,Good
39.7,3.6,Poor
17.5,10.2,Good
23.2,10.3,Good
26.414375678610206,8.5,Moderate
40.9,10.5,Poor
48.9,3.3,Hazardous
30.4,7.8,Moderate
31.2,6.2,Moderate
13.6,13.1,Good
38.4,3.6,Poor
23.7,5.7,Moderate
19.6,6.0,Moderate
44.2,10.1,Poor
20.9,10.1,Good
64.9,2.6,Hazardous
53.0,5.1,Hazardous
40.8,15.9,Hazardous
21.1,11.0,Good
22.9,10.1,Good
26.0,5.0,Moderate
22.7,11.6,Good
17.9,11.9,Good
12.8,12.3,Good
26.414375678610206,5.0,Hazardous
14.6,10.6,Good
25.6,6.7,Poor
19.1,11.9,Good
24.3,11.8,Moderate
31.7,9.0,Moderate
12.7,10.7,Good
37.9,4.1,Hazardous
19.3,10.3,Good
47.9,2.5,Hazardous
29.1,9.4,Hazardous
38.2,5.7,Poor
26.9,7.2,Moderate
15.1,10.3,Good
25.6,16.9,Good
25.8,5.6,Moderate
31.5,6.2,Moderate
17.5,11.0,Good
28.2,6.4,Poor
29.5,5.1,Moderate
16.7,11.7,Good
26.1,6.3,Moderate
30.4,6.1,Moderate
26.414375678610206,10.4,Good
23.2,13.7,Good
30.5,2.6,Hazardous
54.2,2.6,Hazardous
36.8,4.9,Poor
35.1,3.6,Poor
33.0,3.5,Hazardous
16.7,10.7,Good
29.4,12.1,Moderate
24.0,6.7,Moderate
24.8,10.3,Good
50.5,4.2,Hazardous
12.7,12.2,Good
18.6,11.4,Good
26.414375678610206,7.5,Poor
31.4,6.3,Hazardous
15.5,12.4,Good
29.1,6.4,Moderate
22.6,10.5,Good
33.9,6.9,Poor
19.9,10.1,Good
26.4,11.5,Good
30.5,4.7,Poor
23.4,6.9,Moderate
42.5,2.5,Hazardous
20.7,6.9,Moderate
21.8,12.2,Good
16.1,11.6,Good
20.0,10.5,Good
26.414375678610206,10.3,Good
21.6,9.6,Moderate
17.2,13.0,Good
36.6,6.0,Poor
32.2,6.5,Poor
15.3,11.0,Good
24.8,11.3,Moderate
27.1,5.4,Moderate
15.0,10.8,Good
20.1,14.2,Good
26.414375678610206,7.8,Moderate
31.2,5.6,Poor
27.0,6.1,Moderate
14.2,10.2,Good
50.0,2.5,Hazardous
19.0,11.9,Good
19.6,10.7,Good
23.4,5.3,Moderate
16.8,10.3,Good
16.5,10.6,Good
35.5,6.1,Moderate
27.3,9.3,Hazardous
16.2,11.2,Good
23.7,10.7,Good
22.1,15.6,Good
18.8,14.1,Good
22.7,5.9,Moderate
13.8,13.7,Good
26.7,9.0,Poor
33.3,5.1,Poor
12.1,10.7,Good
29.2,4.6,Poor
19.6,11.2,Good
39.5,4.5,Poor
24.6,6.8,Moderate
11.2,11.4,Good
30.7,4.0,Poor
34.9,3.7,Poor
28.7,8.0,Poor
38.4,3.9,Poor
21.0,10.8,Moderate
17.5,10.5,Good
25.2,10.2,Moderate
29.7,4.8,Poor
28.9,8.0,Moderate
28.9,4.2,Poor
12.7,13.9,Good
23.8,11.7,Good
26.414375678610206,7.0,Moderate
20.3,10.8,Good
23.8,11.2,Good
48.6,2.6,Hazardous
21.6,10.8,Good
24.8,11.2,Good
15.5,5.5,Moderate
25.9,13.3,Good
34.9,4.4,Poor
28.7,5.7,Moderate
35.4,8.4,Poor
26.414375678610206,7.2,Moderate
28.4,3.5,Poor
26.414375678610206,7.1,Poor
31.4,5.1,Moderate
18.7,11.0,Good
15.1,10.2,Good
21.1,10.2,Good
15.5,14.1,Good
38.7,3.4,Hazardous
30.1,5.8,Moderate
18.6,11.6,Good
27.7,6.1,Moderate
27.9,7.1,Moderate
23.3,10.8,Good
32.2,7.4,Moderate
29.5,5.5,Moderate
44.0,5.2,Poor
26.414375678610206,5.1,Moderate
34.8,7.9,Poor
28.2,10.7,Good
29.8,5.1,Moderate
27.9,4.5,Poor
19.6,7.0,Moderate
15.9,13.6,Good
27.0,8.2,Moderate
34.2,3.7,Poor
13.7,11.4,Good
33.5,4.3,Poor
18.6,16.5,Good
21.6,10.2,Good
20.2,5.3,Moderate
24.8,10.9,Good
47.0,4.3,Hazardous
27.8,5.1,Moderate
23.3,7.3,Moderate
26.414375678610206,10.7,Good
29.8,9.7,Poor
17.7,12.9,Good
41.6,3.3,Poor
22.0,10.5,Good
21.2,25.2,Good
26.414375678610206,7.6,Moderate
18.8,11.1,Good
29.7,10.4,Poor
26.414375678610206,5.8,Moderate
16.6,10.1,Good
37.6,2.7,Hazardous
40.4,4.8,Hazardous
17.2,11.4,Good
26.414375678610206,12.5,Good
33.8,5.2,Hazardous
23.4,10.9,Good
15.1,19.2,Good
28.8,11.0,Good
30.4,10.8,Moderate
12.5,17.5,Good
25.8,12.3,Good
22.1,10.9,Good
28.7,6.9,Moderate
24.8,9.2,Moderate
41.7,7.1,Hazardous
30.5,7.2,Moderate
26.414375678610206,5.1,Moderate
21.6,5.6,Moderate
24.6,14.2,Good
12.1,14.0,Good
26.4,7.0,Moderate
23.6,6.1,Moderate
26.9,7.2,Moderate
23.1,7.9,Moderate
15.1,10.8,Good
26.414375678610206,5.4,Poor
26.414375678610206,5.1,Poor
17.1,10.2,Good
16.6,11.2,Good
37.6,4.5,Hazardous
30.7,7.2,Poor
19.0,6.7,Moderate
13.1,12.6,Good
23.4,6.6,Moderate
19.5,11.6,Good
26.414375678610206,6.4,Moderate
28.6,9.0,Moderate
22.8,10.4,Good
13.6,11.1,Good
34.3,5.8,Moderate
28.3,9.6,Moderate
12.2,18.7,Good
21.7,10.9,Good
29.4,5.0,Moderate
38.2,4.9,Poor
30.1,8.4,Poor
14.1,10.9,Good
13.1,10.2,Good
26.2,5.5,Poor
41.2,4.3,Poor
20.6,11.3,Good
21.3,11.6,Moderate
12.8,10.8,Good
21.5,10.3,Good
34.3,6.2,Poor
36.2,4.5,Poor
22.9,10.5,Good
19.9,12.0,Good
46.0,6.6,Poor
15.6,11.4,Good
25.5,13.9,Good
17.1,10.4,Good
30.6,7.2,Poor
26.0,6.9,Moderate
30.0,5.7,Moderate
21.7,6.9,Moderate
23.5,5.4,Moderate
33.0,7.9,Moderate
13.0,10.8,Good
22.0,5.4,Moderate
24.2,9.3,Moderate
17.0,10.3,Good
48.6,5.9,Hazardous
26.414375678610206,12.4,Good
26.5,12.8,Good
24.7,10.7,Good
20.0,10.4,Good
26.414375678610206,10.2,Good
33.6,6.6,Moderate
23.5,10.8,Good
14.6,10.9,Good
20.5,10.1,Good
20.9,10.9,Good
37.8,3.4,Poor
41.3,2.9,Hazardous
32.9,6.0,Poor
36.9,5.2,Moderate
26.414375678610206,8.9,Moderate
26.414375678610206,11.1,Good
29.4,6.2,Moderate
16.7,16.4,Good
21.3,11.9,Good
27.9,5.2,Moderate
20.5,5.5,Moderate
26.8,2.7,Hazardous
32.5,6.3,Moderate
24.0,9.6,Moderate
12.4,10.2,Good
27.0,7.0,Moderate
38.7,7.9,Poor
25.9,7.0,Moderate
22.2,10.2,Good
38.2,7.9,Moderate
44.6,7.6,Hazardous
23.3,10.7,Good
21.1,10.2,Good
50.5,4.5,Hazardous
23.1,10.7,Good
13.4,10.8,Good
28.7,5.5,Moderate
32.8,6.5,Moderate
33.7,5.1,Poor
35.2,3.5,Poor
19.7,9.5,Moderate
14.3,11.0,Good
25.9,4.8,Poor
26.8,10.4,Good
34.9,15.8,Poor
27.4,7.2,Moderate
26.3,10.4,Good
20.1,12.2,Good
22.5,12.0,Good
32.0,7.4,Moderate
26.414375678610206,13.0,Good
22.8,12.8,Good
26.414375678610206,8.2,Poor
20.0,10.8,Good
24.4,10.9,Good
34.6,7.0,Moderate
24.9,10.0,Good
34.2,6.3,Poor
32.5,8.2,Moderate
42.8,3.4,Poor
24.7,12.4,Poor
28.3,5.5,Poor
32.0,3.9,Poor
20.0,11.1,Good
27.2,10.2,Good
19.9,10.4,Moderate
14.7,10.6,Good
20.5,6.9,Moderate
19.7,11.1,Good
54.9,2.8,Hazardous
26.4,7.5,Moderate
19.3,11.8,Good
13.1,10.3,Good
18.2,5.6,Moderate
23.1,12.7,Good
26.8,8.7,Poor
42.7,4.7,Hazardous
31.0,5.5,Poor
10.6,11.1,Good
14.1,13.6,Good
28.0,12.5,Good
26.414375678610206,10.1,Good
28.5,8.4,Moderate
31.3,8.1,Poor
36.4,3.3,Hazardous
15.5,11.1,Good
18.5,18.1,Good
24.3,12.0,Good
14.4,11.0,Good
36.7,4.1,Poor
26.414375678610206,4.3,Poor
32.7,5.4,Moderate
19.6,8.2,Moderate
35.0,6.1,Poor
16.0,10.6,Good
27.6,6.6,Moderate
24.4,5.0,Moderate
44.1,4.3,Poor
26.414375678610206,14.1,Good
29.0,11.8,Poor
33.6,4.0,Poor
23.5,14.0,Good
26.414375678610206,13.5,Good
26.1,12.5,Good
22.9,13.7,Good
11.3,14.6,Good
26.414375678610206,7.2,Poor
33.2,9.1,Moderate
26.2,6.2,Moderate
29.1,4.4,Poor
38.7,11.0,Hazardous
21.9,18.6,Good
29.2,6.1,Poor
27.8,11.8,Good
31.1,6.9,Poor
17.3,9.9,Moderate
47.8,2.5,Hazardous
29.6,5.2,Moderate
27.8,7.8,Moderate
19.9,10.5,Good
29.1,9.0,Poor
22.9,18.6,Good
18.7,10.1,Good
24.0,10.9,Good
26.414375678610206,13.1,Good
22.7,11.4,Moderate
23.8,6.6,Moderate
18.5,5.7,Moderate
39.7,3.4,Hazardous
17.7,5.1,Moderate
17.9,5.4,Moderate
14.4,5.9,Moderate
21.8,6.5,Moderate
13.5,10.1,Good
18.8,4.4,Poor
24.6,10.3,Good
12.9,10.5,Good
11.2,11.2,Good
30.8,5.9,Poor
20.1,14.7,Good
26.414375678610206,10.3,Good
14.7,13.8,Good
26.9,10.5,Good
24.5,7.3,Moderate
27.8,11.2,Good
14.3,14.5,Good
29.2,5.5,Moderate
35.7,7.3,Hazardous
26.0,5.9,Moderate
37.0,4.7,Poor
17.9,10.5,Good
21.2,5.1,Moderate
32.2,7.3,Moderate
11.8,10.8,Good
22.2,3.9,Poor
25.4,5.3,Moderate
18.9,11.4,Good
